"id","name","nominal","pfennig","hoehe","breite","thumb","image","euro","von","bis"
"18207095","Deutsches Reich: 1.000 Mark 1876","1.000 Mark","100000","110","190","http://ikmk.smb.museum/mk-edit/images/n17/17641/vs_thumb.jpg","http://ikmk.smb.museum/mk-edit/images/n17/17641/vs_org.jpg","6,6","1876","1876"
"18216494","Sächsisches Finanzministerium: 20 Rentenmark 1923","20 Rentenmark","2000","87","138,5","http://ikmk.smb.museum/mk-edit/images/n16/16516/vs_thumb.jpg","http://ikmk.smb.museum/mk-edit/images/n16/16516/vs_org.jpg","0,0001","1923","1923"
"18216567","Deutsches Reich: 100 Mark 1910","100 Mark","10000","101,5","207","http://ikmk.smb.museum/mk-edit/images/n16/16584/vs_thumb.jpg","http://ikmk.smb.museum/mk-edit/images/n16/16584/vs_org.jpg","5,6","1910","1910"
"18217532","Stadtsparkasse Bielefeld: 100 Mark 1921","100 Mark","10000","110","140","http://ikmk.smb.museum/mk-edit/images/n17/17531/vs_thumb.jpg","http://ikmk.smb.museum/mk-edit/images/n17/17531/vs_org.jpg","0,4","1921","1921"
"18217544","Militärausgabe Persien: 250 Toman (1.000 Mark) 1910","250 Toman (1.000 Mark)","100000","110","187","http://ikmk.smb.museum/mk-edit/images/n17/17544/vs_thumb.jpg","http://ikmk.smb.museum/mk-edit/images/n17/17544/vs_org.jpg","5,6","1910","1910"
"18217547","Deutsche Demokratische Republik: 100 Deutsche Mark 1955 Probe","100 Mark","10000","90","180","http://ikmk.smb.museum/mk-edit/images/n17/17551/vs_thumb.jpg","http://ikmk.smb.museum/mk-edit/images/n17/17551/vs_org.jpg","2,43","1955","1955"
"18218006","Deutsches Reich: 1.000 Mark 1891","1.000 Mark","100000","110","186","http://ikmk.smb.museum/mk-edit/images/n18/18862/vs_thumb.jpg","http://ikmk.smb.museum/mk-edit/images/n18/18862/vs_org.jpg","6,5","1891","1891"
"18218007","Deutsche Rentenbank: 500 Rentenmark 1923 Probe","500 Rentenmark","50000","83","150","http://ikmk.smb.museum/mk-edit/images/n18/18863/vs_thumb.jpg","http://ikmk.smb.museum/mk-edit/images/n18/18863/vs_org.jpg","0,0001","1923","1923"
"18218033","Deutsches Reich: 1.000 Mark 1895 Probe","1.000 Mark","100000","110","186","http://ikmk.smb.museum/mk-edit/images/n18/18889/vs_thumb.jpg","http://ikmk.smb.museum/mk-edit/images/n18/18889/vs_org.jpg","6,9","1895","1895"
"18218310","Reichsbank: 100 Billionen Mark 1924","100 Billionen Mark","10000000000000000","95","181","http://ikmk.smb.museum/mk-edit/images/n19/19166/vs_thumb.jpg","http://ikmk.smb.museum/mk-edit/images/n19/19166/vs_org.jpg","0,000000000001","1924","1924"
"18218578","Deutsches Reich: 1.000 Mark 1884 Probe","1.000 Mark","100000","110","189","http://ikmk.smb.museum/mk-edit/images/n19/19434/vs_thumb.jpg","http://ikmk.smb.museum/mk-edit/images/n19/19434/vs_org.jpg","7,3","1884","1884"
"18218581","Deutsches Reich: 1.000 Mark 1895 Probe","1.000 Mark","100000","112","192","http://ikmk.smb.museum/mk-edit/images/n19/19437/vs_thumb.jpg","http://ikmk.smb.museum/mk-edit/images/n19/19437/vs_org.jpg","6,9","1895","1895"
"18219022","Deutsches Reich: 1.000 Mark 1896 Probe","1.000 Mark","100000","110","185","http://ikmk.smb.museum/mk-edit/images/n19/19879/vs_thumb.jpg","http://ikmk.smb.museum/mk-edit/images/n19/19879/vs_org.jpg","7","1896","1896"
"18219036","Deutsches Reich: 100 Mark 1896","100 Mark","10000","101,5","157","http://ikmk.smb.museum/mk-edit/images/n19/19893/vs_thumb.jpg","http://ikmk.smb.museum/mk-edit/images/n19/19893/vs_org.jpg","7","1896","1896"
"18219039","Deutsches Reich: 100 Mark 1896 Probe","100 Mark","10000","102","158","http://ikmk.smb.museum/mk-edit/images/n19/19896/vs_thumb.jpg","http://ikmk.smb.museum/mk-edit/images/n19/19896/vs_org.jpg","7","1896","1896"
"18219181","Deutsches Reich: 100 Mark 1876 Probe","100 Mark","10000","104,5","163","http://ikmk.smb.museum/mk-edit/images/n20/20038/vs_thumb.jpg","http://ikmk.smb.museum/mk-edit/images/n20/20038/vs_org.jpg","6,6","1876","1876"
"18219182","Deutsches Reich: 100 Mark 1876 Probe","100 Mark","10000","102","160,5","http://ikmk.smb.museum/mk-edit/images/n20/20039/vs_thumb.jpg","http://ikmk.smb.museum/mk-edit/images/n20/20039/vs_org.jpg","6,6","1876","1876"
"18219361","Deutsches Reich: 5 Mark 1874 Probe","5 Mark","500","82","131","http://ikmk.smb.museum/mk-edit/images/n20/20218/vs_thumb.jpg","http://ikmk.smb.museum/mk-edit/images/n20/20218/vs_org.jpg","6,2","1874","1874"
"18219362","Deutsches Reich: 20 Mark 1874 Probe","20 Mark","2000","92","145","http://ikmk.smb.museum/mk-edit/images/n20/20219/vs_thumb.jpg","http://ikmk.smb.museum/mk-edit/images/n20/20219/vs_org.jpg","6,2","1874","1874"
"18219363","Deutsches Reich: 50 Mark 1874 Probe","50 Mark","5000","101","152","http://ikmk.smb.museum/mk-edit/images/n20/20220/vs_thumb.jpg","http://ikmk.smb.museum/mk-edit/images/n20/20220/vs_org.jpg","6,2","1874","1874"
"18219669","Deutsches Reich: 5 Mark 1882","5 Mark","500","80","125","http://ikmk.smb.museum/mk-edit/images/n20/20534/vs_thumb.jpg","http://ikmk.smb.museum/mk-edit/images/n20/20534/vs_org.jpg","7,2","1882","1882"
"18219670","Deutsches Reich: 20 Mark 1882 Probe","20 Mark","2000","92","143","http://ikmk.smb.museum/mk-edit/images/n20/20540/vs_thumb.jpg","http://ikmk.smb.museum/mk-edit/images/n20/20540/vs_org.jpg","7,2","1882","1882"
"18219671","Deutsches Reich: 50 Mark 1882 Probe","50 Mark","5000","101","152","http://ikmk.smb.museum/mk-edit/images/n20/20544/vs_thumb.jpg","http://ikmk.smb.museum/mk-edit/images/n20/20544/vs_org.jpg","7,2","1882","1882"
"18219674","Deutsches Reich: 5 Mark 1904","5 Mark","500","80","125","http://ikmk.smb.museum/mk-edit/images/n20/20555/vs_thumb.jpg","http://ikmk.smb.museum/mk-edit/images/n20/20555/vs_org.jpg","6,3","1904","1904"
"18219683","Deutsches Reich: 100 Mark 1876 Probe","100 Mark","10000","105","161","http://ikmk.smb.museum/mk-edit/images/n20/20572/vs_thumb.jpg","http://ikmk.smb.museum/mk-edit/images/n20/20572/vs_org.jpg","6,6","1876","1876"
"18219716","Deutsches Reich: 100 Mark 1883","100 Mark","10000","101,5","159","http://ikmk.smb.museum/mk-edit/images/n20/20699/vs_thumb.jpg","http://ikmk.smb.museum/mk-edit/images/n20/20699/vs_org.jpg","7,1","1883","1883"
"18219720","Deutsches Reich: 100 Mark 1895 Probe","100 Mark","10000","102,5","160","http://ikmk.smb.museum/mk-edit/images/n20/20704/vs_thumb.jpg","http://ikmk.smb.museum/mk-edit/images/n20/20704/vs_org.jpg","6,9","1895","1895"
"18226561","Frankenberg, Stadt: 50 Pfennig 1918","50 Pfennig","50","55","78","http://ikmk.smb.museum/mk-edit/images/n27/27992/vs_thumb.jpg","http://ikmk.smb.museum/mk-edit/images/n27/27992/vs_org.jpg","1,6","1918","1918"
"18226563","Vereinsbank Frankenberg: 1.000 Mark 1922","1.000 Mark","100000","97","142","http://ikmk.smb.museum/mk-edit/images/n27/27994/vs_thumb.jpg","http://ikmk.smb.museum/mk-edit/images/n27/27994/vs_org.jpg","0,001","1922","1922"
"18226564","Vereinsbank Frankenberg: 2.000 Mark 1922","2.000 Mark","200000","97","142","http://ikmk.smb.museum/mk-edit/images/n27/27995/vs_thumb.jpg","http://ikmk.smb.museum/mk-edit/images/n27/27995/vs_org.jpg","0,001","1922","1922"
"18226566","Allgemeine Deutsche Credit-Anstalt Frankenberg: 5 Millionen Mark 1923","5 Millionen Mark","500000000","104","142","http://ikmk.smb.museum/mk-edit/images/n27/27997/vs_thumb.jpg","http://ikmk.smb.museum/mk-edit/images/n27/27997/vs_org.jpg","0,0001","1923","1923"
"18226568","Commerz- und Privat-Bank Frankenberg: 20 Milliarden Mark 1923","20 Milliarden Mark","2000000000000","104","145","http://ikmk.smb.museum/mk-edit/images/n27/27999/vs_thumb.jpg","http://ikmk.smb.museum/mk-edit/images/n27/27999/vs_org.jpg","0,000000000001","1923","1923"
"18229329","Eberswalde, Stadt: 50 Pfennig 1917","50 Pfennig","50","50","71","http://ikmk.smb.museum/mk-edit/images/n30/30771/vs_thumb.jpg","http://ikmk.smb.museum/mk-edit/images/n30/30771/vs_org.jpg","2,3","1917","1917"
"18229332","Eberswalde, Stadt: 50 Pfennig 1917","50 Pfennig","50","50","76","http://ikmk.smb.museum/mk-edit/images/n30/30774/vs_thumb.jpg","http://ikmk.smb.museum/mk-edit/images/n30/30774/vs_org.jpg","2,3","1917","1917"
"18229334","Eberswalde, Stadt: 50 Pfennig 1917","50 Pfennig","50","50","76","http://ikmk.smb.museum/mk-edit/images/n30/30776/vs_thumb.jpg","http://ikmk.smb.museum/mk-edit/images/n30/30776/vs_org.jpg","2,3","1917","1917"
"18229335","Eberswalde, Stadt: 50 Pfennig 1918","50 Pfennig","50","62","85","http://ikmk.smb.museum/mk-edit/images/n30/30777/vs_thumb.jpg","http://ikmk.smb.museum/mk-edit/images/n30/30777/vs_org.jpg","1,6","1918","1918"
"18229336","Eberswalde, Stadt: 50 Pfennig 1918","50 Pfennig","50","62","86","http://ikmk.smb.museum/mk-edit/images/n30/30778/vs_thumb.jpg","http://ikmk.smb.museum/mk-edit/images/n30/30778/vs_org.jpg","1,6","1918","1918"
"18229337","Eberswalde, Stadt: 50 Pfennig 1919","50 Pfennig","50","62","87","http://ikmk.smb.museum/mk-edit/images/n30/30779/vs_thumb.jpg","http://ikmk.smb.museum/mk-edit/images/n30/30779/vs_org.jpg","1,1","1919","1919"
"18229339","Eberswalde, Stadt: 50 Pfennig 1919","50 Pfennig","50","59","86","http://ikmk.smb.museum/mk-edit/images/n30/30781/vs_thumb.jpg","http://ikmk.smb.museum/mk-edit/images/n30/30781/vs_org.jpg","1,1","1919","1919"
"18229341","Eberswalde, Stadt: 50 Pfennig 1919","50 Pfennig","50","61","86","http://ikmk.smb.museum/mk-edit/images/n30/30783/vs_thumb.jpg","http://ikmk.smb.museum/mk-edit/images/n30/30783/vs_org.jpg","1,1","1919","1919"
"18229343","Eberswalde, Stadt: 50 Pfennig 1919","50 Pfennig","50","61","87","http://ikmk.smb.museum/mk-edit/images/n30/30785/vs_thumb.jpg","http://ikmk.smb.museum/mk-edit/images/n30/30785/vs_org.jpg","1,1","1919","1919"
"18229345","Eberswalde, Stadt: 25 Pfennig 1921","25 Pfennig","25","55","84","http://ikmk.smb.museum/mk-edit/images/n30/30787/vs_thumb.jpg","http://ikmk.smb.museum/mk-edit/images/n30/30787/vs_org.jpg","0,4","1921","1921"
"18229347","Eberswalde, Stadt: 25 Pfennig 1921","25 Pfennig","25","54","86","http://ikmk.smb.museum/mk-edit/images/n30/30789/vs_thumb.jpg","http://ikmk.smb.museum/mk-edit/images/n30/30789/vs_org.jpg","0,4","1921","1921"
"18229349","Eberswalde, Stadt: 25 Pfennig 1921","25 Pfennig","25","56","85","http://ikmk.smb.museum/mk-edit/images/n30/30791/vs_thumb.jpg","http://ikmk.smb.museum/mk-edit/images/n30/30791/vs_org.jpg","0,4","1921","1921"
"18229350","Eberswalde, Stadt: 50 Pfennig 1921","50 Pfennig","50","54","85","http://ikmk.smb.museum/mk-edit/images/n30/30792/vs_thumb.jpg","http://ikmk.smb.museum/mk-edit/images/n30/30792/vs_org.jpg","0,4","1921","1921"
"18229351","Eberswalde, Stadt: 50 Pfennig 1921","50 Pfennig","50","55","87","http://ikmk.smb.museum/mk-edit/images/n30/30793/vs_thumb.jpg","http://ikmk.smb.museum/mk-edit/images/n30/30793/vs_org.jpg","0,4","1921","1921"
"18229352","Eberswalde, Stadt: 500.000 Mark 1923","500.000 Mark","50000000","92","136","http://ikmk.smb.museum/mk-edit/images/n30/30794/vs_thumb.jpg","http://ikmk.smb.museum/mk-edit/images/n30/30794/vs_org.jpg","0,0001","1923","1923"
"18229427","Eberswalde, Stadt: 1 Million Mark 1923","1 Million Mark","100000000","92","134","http://ikmk.smb.museum/mk-edit/images/n30/30870/vs_thumb.jpg","http://ikmk.smb.museum/mk-edit/images/n30/30870/vs_org.jpg","0,0001","1923","1923"
"18229428","Eberswalde, Stadt: 2 Millionen Mark 1923","2 Millionen Mark","200000000","90","134","http://ikmk.smb.museum/mk-edit/images/n30/30871/vs_thumb.jpg","http://ikmk.smb.museum/mk-edit/images/n30/30871/vs_org.jpg","0,0001","1923","1923"
"18229429","Eberswalde, Stadt: 5 Millionen Mark 1923","5 Millionen Mark","500000000","92","134","http://ikmk.smb.museum/mk-edit/images/n30/30872/vs_thumb.jpg","http://ikmk.smb.museum/mk-edit/images/n30/30872/vs_org.jpg","0,0001","1923","1923"
"18229430","Eberswalde, Stadt: 5 Millionen Mark 1923","5 Millionen Mark","500000000","91","131","http://ikmk.smb.museum/mk-edit/images/n30/30873/vs_thumb.jpg","http://ikmk.smb.museum/mk-edit/images/n30/30873/vs_org.jpg","0,0001","1923","1923"
"18229431","Eberswalde, Stadt: 10 Milliarden Mark 1923","10 Milliarden Mark","1000000000000","94","130","http://ikmk.smb.museum/mk-edit/images/n30/30874/vs_thumb.jpg","http://ikmk.smb.museum/mk-edit/images/n30/30874/vs_org.jpg","0,000000000001","1923","1923"
"18229432","Eberswalde, Stadt: 20 Milliarden Mark 1923","20 Milliarden Mark","2000000000000","95","131","http://ikmk.smb.museum/mk-edit/images/n30/30875/vs_thumb.jpg","http://ikmk.smb.museum/mk-edit/images/n30/30875/vs_org.jpg","0,000000000001","1923","1923"
"18229434","Vereinigung der Metallindustriellen von Eberswalde und Umgebung e.V.: 500.000 Mark 1923","500.000 Mark","50000000","89","143","http://ikmk.smb.museum/mk-edit/images/n30/30877/vs_thumb.jpg","http://ikmk.smb.museum/mk-edit/images/n30/30877/vs_org.jpg","0,0001","1923","1923"
"18229436","Vereinigung der Metallindustriellen von Eberswalde und Umgebung e.V.: 1 Million Mark 1923","1 Million Mark","100000000","88","144","http://ikmk.smb.museum/mk-edit/images/n30/30879/vs_thumb.jpg","http://ikmk.smb.museum/mk-edit/images/n30/30879/vs_org.jpg","0,0001","1923","1923"
"18229438","Vereinigung der Metallindustriellen von Eberswalde und Umgebung e.V.: 3 Millionen Mark 1923","3 Millionen Mark","300000000","89","144","http://ikmk.smb.museum/mk-edit/images/n30/30881/vs_thumb.jpg","http://ikmk.smb.museum/mk-edit/images/n30/30881/vs_org.jpg","0,0001","1923","1923"
"18229439","Vereinigung der Metallindustriellen von Eberswalde und Umgebung e.V.: 5 Millionen Mark 1923","5 Millionen Mark","500000000","88","142","http://ikmk.smb.museum/mk-edit/images/n30/30882/vs_thumb.jpg","http://ikmk.smb.museum/mk-edit/images/n30/30882/vs_org.jpg","0,0001","1923","1923"
"18229441","Vereinigung der Metallindustriellen von Eberswalde und Umgebung e.V.: 5 Millionen Mark 1923","5 Millionen Mark","500000000","87","141","http://ikmk.smb.museum/mk-edit/images/n30/30884/vs_thumb.jpg","http://ikmk.smb.museum/mk-edit/images/n30/30884/vs_org.jpg","0,0001","1923","1923"
"18229444","Vereinigung der Metallindustriellen von Eberswalde und Umgebung e.V.: 0,42 Mark Gold 1923","0,42 Goldmark","4200","68","114","http://ikmk.smb.museum/mk-edit/images/n30/30887/vs_thumb.jpg","http://ikmk.smb.museum/mk-edit/images/n30/30887/vs_org.jpg","0,0001","1923","1923"
"18229446","Vereinigung der Metallindustriellen von Eberswalde und Umgebung e.V.: 1,05 Mark Gold 1923","1,05 Goldmark","500","66","115","http://ikmk.smb.museum/mk-edit/images/n30/30889/vs_thumb.jpg","http://ikmk.smb.museum/mk-edit/images/n30/30889/vs_org.jpg","0,0001","1923","1923"
"18229624","Finsterwalde, Stadt: 75 Pfennig 1921","75 Pfennig","75","73","107","http://ikmk.smb.museum/mk-edit/images/n31/31070/vs_thumb.jpg","http://ikmk.smb.museum/mk-edit/images/n31/31070/vs_org.jpg","0,4","1921","1921"
"18230115","Frankfurt an der Oder, Stadt: 5 Mark 1918","5 Mark","500","72","114","http://ikmk.smb.museum/mk-edit/images/n31/31561/vs_thumb.jpg","http://ikmk.smb.museum/mk-edit/images/n31/31561/vs_org.jpg","1,6","1918","1919"
"18230119","Frankfurt an der Oder, Stadt: 5 Mark 1918","5 Mark","500","72","114","http://ikmk.smb.museum/mk-edit/images/n31/31565/vs_thumb.jpg","http://ikmk.smb.museum/mk-edit/images/n31/31565/vs_org.jpg","1,6","1918","1919"
"18230122","Frankfurt an der Oder, Stadt: 50 Mark 1922","50 Mark","5000","72","114","http://ikmk.smb.museum/mk-edit/images/n31/31568/vs_thumb.jpg","http://ikmk.smb.museum/mk-edit/images/n31/31568/vs_org.jpg","0,001","1922","1922"
"18230123","Frankfurt an der Oder, Stadt: 10 Pfennig 1920","10 Pfennig","10","32","70","http://ikmk.smb.museum/mk-edit/images/n31/31569/vs_thumb.jpg","http://ikmk.smb.museum/mk-edit/images/n31/31569/vs_org.jpg","0,5","1920","1920"
"18230127","Frankfurt an der Oder, Stadt: 10 Pfennig 1920","10 Pfennig","10","34","70","http://ikmk.smb.museum/mk-edit/images/n31/31573/vs_thumb.jpg","http://ikmk.smb.museum/mk-edit/images/n31/31573/vs_org.jpg","0,5","1920","1920"
"18230128","Frankfurt an der Oder, Stadt: 25 Pfennig 1920","25 Pfennig","25","37","65","http://ikmk.smb.museum/mk-edit/images/n31/31574/vs_thumb.jpg","http://ikmk.smb.museum/mk-edit/images/n31/31574/vs_org.jpg","0,5","1920","1920"
"18230132","Frankfurt an der Oder, Stadt: 25 Pfennig 1920","25 Pfennig","25","35","65","http://ikmk.smb.museum/mk-edit/images/n31/31578/vs_thumb.jpg","http://ikmk.smb.museum/mk-edit/images/n31/31578/vs_org.jpg","0,5","1920","1920"
"18230134","Frankfurt an der Oder, Stadt: 50 Pfennig 1917","50 Pfennig","50","41","61","http://ikmk.smb.museum/mk-edit/images/n31/31580/vs_thumb.jpg","http://ikmk.smb.museum/mk-edit/images/n31/31580/vs_org.jpg","2,3","1917","1917"
